               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.039735,            0.031263,           0.0026668,             0.77067,              0.6516,             0.69974,             0.35529,            0.049421,            0.032239,           0.0085376,            0.006139,            0.006139,            0.006139
                 119,            0.039639,            0.033506,           0.0024976,             0.77117,             0.67115,             0.70808,             0.35826,            0.048556,             0.03168,           0.0081954,            0.006106,            0.006106,            0.006106
                 120,            0.039387,            0.032952,           0.0025679,             0.77435,             0.66691,             0.71398,             0.34863,            0.048924,            0.031765,           0.0083153,            0.006073,            0.006073,            0.006073
                 121,            0.038209,            0.031619,           0.0031523,             0.82781,             0.61373,             0.70202,             0.36106,            0.049006,             0.03163,           0.0076419,             0.00604,             0.00604,             0.00604
                 122,            0.038309,             0.03134,           0.0024564,              0.8045,             0.65875,             0.71969,             0.36423,            0.048189,            0.031993,           0.0070022,            0.006007,            0.006007,            0.006007
                 123,             0.03984,            0.032402,           0.0029021,             0.74657,             0.66718,             0.71014,             0.36588,            0.048125,            0.031981,           0.0073106,            0.005974,            0.005974,            0.005974
                 124,            0.038113,            0.032209,           0.0026033,             0.74646,             0.66534,             0.69254,              0.3512,            0.048589,            0.032236,            0.007715,            0.005941,            0.005941,            0.005941
                 125,            0.039559,            0.032042,           0.0025562,              0.7888,             0.65483,             0.70712,               0.366,            0.048216,             0.03201,           0.0072428,            0.005908,            0.005908,            0.005908
                 126,            0.039728,            0.032648,            0.002585,             0.78166,             0.66766,             0.71578,             0.35975,            0.048806,            0.031681,           0.0075804,            0.005875,            0.005875,            0.005875
                 127,            0.038402,            0.030976,           0.0024323,             0.76652,              0.6462,             0.71441,             0.36303,            0.048518,            0.031609,           0.0078829,            0.005842,            0.005842,            0.005842
                 128,            0.038294,            0.030208,           0.0024369,             0.77733,             0.62991,             0.70406,             0.35819,            0.048647,            0.031964,            0.007858,            0.005809,            0.005809,            0.005809
                 129,            0.038708,            0.031863,           0.0026944,             0.78746,             0.65682,             0.70735,             0.35947,             0.04872,            0.032225,           0.0078398,            0.005776,            0.005776,            0.005776
                 130,            0.038464,            0.032048,           0.0026715,             0.79329,               0.657,             0.71086,             0.36354,            0.048157,            0.031825,           0.0080733,            0.005743,            0.005743,            0.005743
                 131,            0.037603,            0.032243,           0.0025854,             0.81216,             0.63449,             0.70966,             0.35983,            0.048337,            0.031641,           0.0076981,             0.00571,             0.00571,             0.00571
                 132,            0.038686,            0.031992,           0.0023981,             0.78957,             0.64723,             0.69729,             0.36003,            0.048533,            0.031301,           0.0075407,            0.005677,            0.005677,            0.005677
                 133,            0.038531,            0.032878,           0.0025596,             0.73735,             0.67312,             0.70638,             0.36662,            0.047708,             0.03183,           0.0074755,            0.005644,            0.005644,            0.005644
                 134,            0.037535,            0.032082,           0.0026495,             0.72547,             0.68954,             0.71566,             0.36509,            0.047871,            0.031869,           0.0074728,            0.005611,            0.005611,            0.005611
                 135,            0.037688,            0.033347,           0.0021262,             0.78363,             0.62886,             0.69995,             0.36391,            0.048211,            0.032656,            0.007392,            0.005578,            0.005578,            0.005578
                 136,            0.038088,            0.032544,           0.0024354,             0.78133,             0.64173,             0.69646,             0.35846,            0.048524,             0.03252,           0.0076564,            0.005545,            0.005545,            0.005545
